1,Tenacity
1,Meditation
1,Technique
1,Preemption
1,Destruction
2,Flash
2,Opportunity
2,Fruitful
2,Concentration
2,Divine Oracle
3,Azoth Blade
3,False Attendant's Writings
3,The Azure Black Keys
3,The Verdant Black Keys
3,The Crimson Black Keys
3,Rin's Pendant
3,Spell Tome
3,Dragon's Meridian
3,Sorcery Ore
3,Dragonkin
4,Iron-Willed Training
4,Primeval Curse
4,Projection
4,Gandr
4,Verdant Sound of Destruction
4,Gem Magecraft: Antumbra
4,Be Elegant
4,The Imaginary Element
4,Divine Banquet
4,Angel's Song
5,Formal Craft
5,Imaginary Around
5,Limited/Zero Over
5,Kaleidoscope
5,Heaven's Feel
3,Parted Sea
4,Seal Designation Enforcer
4,Holy Shroud of Magdalene
5,Prisma Cosmos
5,Nightless Rose
3,Mooncell Automaton
4,Moony Jewel
5,Moon Goddess Bath
5,Moonlight Fest
3,Runestone
4,With One Strike
5,The Black Grail
3,Jackolantern
3,Trick or Treat
4,Halloween Arrangement
5,Halloween Princess
5,Little Halloween Devil
5,Maid in Halloween
3,Anchors Aweigh
4,Code Cast
5,Victor of the Moon
5,Another Ending
3,Fate GUDAGUDA Order
4,AfterParty Order
5,GUDAO
5,GUDAGUDA Poster Girl
3,Demon Boar
4,Knight's Dignity
5,A Fragment of 2030
3,Lightning Reindeer
4,March of the Saint
5,Present for My Master
5,Holy Night Sign
3,Clock Tower
4,Necromancy
4,Awakened Will
5,500-Year Obsession
3,Peacefulness of 2016
4,Heroic New Year
3,Law of the Jungle
5,Grand New Year
5,Mona Lisa
5,Purely Bloom
5,Star of Altria
3,Trueshot
4,Mikotto Bridal Training
5,The Crimson Land of Shadows
3,Ryudoji Temple
3,Mana Gauge
3,Elixir of Love
3,Storch Ritter
3,Hermitage
3,Motored Cuirassier
3,Stuffed Lion
3,Lugh's Halo
5,Vessel of the Saint
4,Golden Millennium Tree
3,Valentine Dojo of Tears
4,KitchenPatissiere
5,Street ChocoMaid
5,Melty Sweetheart
5,Decapitating Bunny 2016
5,Mature Gentleman
5,Grand Puppeteer
5,Threefold Barrier
4,Vivid Dance of Fists
4,Mystic Eyes of Distortion
4,Summers Precognition
4,Chorus
3,Sprinter
3,Repeat Magic
5,Kiss Your Hand
5,Teacher and I
5,Versus
4,Beasts Under the Moon
4,Glass Full Sweet Time
3,Salon de Marie
3,Prince of Slayer
4,Noisy Obsession
5,Ideal Holy King
4,Record Holder
3,Beast of Billows
5,Personal Training
5,The Scholars of Chaldea
5,Maiden Leading Chaldea
5,The Merciless One
4,Art of the Poisonous Snake
4,Art of Death
4,Gentle Affection
5,Volumen Hydrargyrum
4,Innocent Maiden
3,Self Geass Scroll
5,Before Awakening
5,His Rightful Place
5,The Wandering Tales of Shanaoh
5,Golden Captures the Carp
5,A Fox Nights Dream
4,Burning Tale of Love
3,Reciting the Subscription List
5,GO WEST!!
5,The Classic Three Great Heroes
4,True Samadhi Fire
3,All Three Together
5,Divine Princess of the Storm
5,OxDemon King
